bq-results-20260416-225210-1776379941014
user_pseudo_id,conversion,page_views,scrolls,form_starts,device_category,medium,engagement_level
1283611181.1773000000,0,1,0,0,mobile,referral,Low
599826337.1772990000,0,1,0,0,mobile,(none),Low
1908204282.1773000000,0,2,0,0,mobile,referral,Low
905864853.1773050000,0,1,0,0,mobile,referral,Low
1845733327.1771500000,0,5,2,0,mobile,(none),Medium
1253852313.1773000000,0,2,0,0,mobile,referral,Low
1352265928.1773100000,0,1,1,0,mobile,organic,Low
1242457752.1773100000,0,1,0,0,mobile,(none),Low
1880961254.1773200000,0,2,0,0,mobile,organic,Low
1721817396.1771000000,0,14,2,0,desktop,(none),High
65795134.1773187000,0,1,0,0,mobile,referral,Low
578162179.1773200000,0,1,1,0,desktop,(none),Low
1748068839.1773200000,0,1,0,0,desktop,(none),Low
1787016273.1773200000,0,7,2,0,mobile,organic,Medium
1748335505.1773300000,0,3,2,0,mobile,organic,Low
1105472308.1773300000,0,1,1,0,mobile,referral,Low
339995331.1773260000,0,4,2,0,mobile,(none),Medium
1740436847.1771900000,0,3,0,0,mobile,(none),Low
749786900.1773270000,0,3,0,0,mobile,(none),Low
249894361.1773270000,0,1,1,0,mobile,organic,Low
476520809.1773270000,0,2,0,0,mobile,(none),Low
1494441355.1773300000,0,4,2,0,mobile,organic,Medium
534314031.1771630000,0,6,0,0,mobile,(none),Medium
81298726.1773309000,0,8,4,0,mobile,organic,Medium
822021928.1773330000,0,1,0,0,mobile,organic,Low
1504137733.1773300000,0,4,3,0,mobile,organic,Medium
334480157.1773330000,0,1,1,0,mobile,organic,Low
16662366.1773362000,0,2,0,0,mobile,organic,Low
633285355.1773370000,0,1,0,0,desktop,cpc,Low
372746693.1773430000,0,2,0,0,mobile,(none),Low
571040534.1773500000,0,1,0,0,desktop,referral,Low
319826539.1773520000,0,1,0,0,mobile,organic,Low
915082183.1773080000,0,4,0,0,desktop,(none),Medium
1502479904.1773600000,0,1,0,0,mobile,organic,Low
150372904.1773670000,0,10,0,0,mobile,organic,Medium
934844990.1773690000,0,1,0,0,desktop,referral,Low
2000355811.1773700000,0,2,0,0,mobile,(none),Low
889852887.1773710000,0,1,0,0,desktop,referral,Low
2096284933.1773700000,0,14,3,1,mobile,organic,High
626758666.1773760000,0,1,0,0,mobile,organic,Low
1238625490.1773800000,0,9,2,0,mobile,(none),Medium
598358824.1773770000,0,1,0,0,mobile,(none),Low
2035446051.1773800000,0,14,4,2,desktop,(none),High
861695353.1773790000,0,1,1,0,mobile,(none),Low
1608263557.1773900000,0,2,0,0,mobile,organic,Low
1417830590.1773900000,0,1,0,0,mobile,(none),Low
243998267.1773860000,0,1,0,0,desktop,(none),Low
304953910.1773860000,0,19,2,0,mobile,(none),High
1608703258.1755800000,0,2,0,0,desktop,(none),Low
1625978820.1773900000,0,1,0,0,desktop,(none),Low
67182578.1773872000,0,5,0,0,mobile,organic,Medium
19415268.1773874000,0,1,0,0,desktop,(none),Low
1169805211.1773900000,0,1,0,0,desktop,(none),Low
10602877.1773883000,0,1,0,0,desktop,(none),Low
360731677.1771270000,0,2,0,0,mobile,organic,Low
1125727517.1773900000,0,1,0,0,desktop,(none),Low
766012040.1773890000,0,1,0,0,desktop,(none),Low
815616713.1773890000,0,1,0,0,desktop,(none),Low
1128224640.1773900000,0,1,0,0,desktop,(none),Low
1496804966.1773900000,0,1,0,0,desktop,(none),Low
1804094486.1773900000,0,1,0,0,desktop,(none),Low
1292583356.1773900000,0,1,0,0,desktop,(none),Low
1974182675.1773900000,0,1,0,0,desktop,(none),Low
1232176961.1773900000,0,1,0,0,mobile,(none),Low
603419414.1773900000,0,1,0,0,desktop,(none),Low
1958851901.1773900000,0,1,0,0,desktop,organic,Low
1214770484.1773900000,0,3,0,0,desktop,organic,Low
588923042.1773930000,0,1,0,0,desktop,(none),Low
10904718.1773934000,0,1,0,0,desktop,(none),Low
1646573980.1773900000,0,1,0,0,desktop,(none),Low
2145722817.1773900000,0,1,0,0,desktop,(none),Low
1573878336.1773900000,0,1,0,0,desktop,(none),Low
1797737888.1773900000,0,1,0,0,desktop,(none),Low
256890034.1773940000,0,1,0,0,desktop,(none),Low
1853314479.1774000000,0,1,0,0,desktop,(none),Low
1394395027.1774000000,0,1,0,0,desktop,(none),Low
20260407.1773955000,0,1,0,0,tablet,referral,Low
219541770.1773960000,0,4,0,0,desktop,organic,Medium
1197368209.1774000000,0,12,6,0,desktop,(none),High
1461265163.1773800000,0,4,0,0,mobile,(none),Medium
